batch_size,num_heads,avg_us,rows_per_sec
1,32,138.95,7197
16,32,139.09,115031
48,32,138.67,346136
256,32,139.36,1837010
1024,32,139.13,7359805
4096,32,139.41,29381485
8192,32,139.72,58632589
65536,32,366.00,179058270
262144,32,1405.92,186457457
